policy_area,issue_number,salience,dateIssued,year_week
Agriculture,400,50.0,2016-11-13,2016_45
Labor,500,50.0,2016-11-13,2016_45
Education,600,50.0,2016-11-13,2016_45
Environment,700,50.0,2016-11-13,2016_45
Energy,800,50.0,2016-11-13,2016_45
Transportation,1000,50.0,2016-11-13,2016_45
Law and Crime,1200,50.0,2016-11-13,2016_45
Social Welfare,1300,50.0,2016-11-13,2016_45
Housing,1400,50.0,2016-11-13,2016_45
Domestic Commerce,1500,50.0,2016-11-13,2016_45
Defense,1600,50.0,2016-11-13,2016_45
Technology,1700,50.0,2016-11-13,2016_45
International Affairs,1900,50.0,2016-11-13,2016_45
Government Operations,2000,50.0,2016-11-13,2016_45
Public Lands,2100,50.0,2016-11-13,2016_45
Macroeconomics,100,50.0,2016-11-20,2016_46
Civil Rights,200,50.0,2016-11-20,2016_46
Health,300,50.0,2016-11-20,2016_46
Agriculture,400,50.0,2016-11-20,2016_46
Labor,500,50.0,2016-11-20,2016_46
Education,600,50.0,2016-11-20,2016_46
Environment,700,50.0,2016-11-20,2016_46
Energy,800,50.0,2016-11-20,2016_46
Transportation,1000,50.0,2016-11-20,2016_46
Law and Crime,1200,50.0,2016-11-20,2016_46
Social Welfare,1300,50.0,2016-11-20,2016_46
Housing,1400,50.0,2016-11-20,2016_46
Domestic Commerce,1500,50.0,2016-11-20,2016_46
Defense,1600,50.0,2016-11-20,2016_46
Technology,1700,50.0,2016-11-20,2016_46
International Affairs,1900,50.0,2016-11-20,2016_46
Government Operations,2000,50.0,2016-11-20,2016_46
Public Lands,2100,50.0,2016-11-20,2016_46
Macroeconomics,100,50.0,2016-11-27,2016_47
Civil Rights,200,50.0,2016-11-27,2016_47
Health,300,50.0,2016-11-27,2016_47
Agriculture,400,50.0,2016-11-27,2016_47
Labor,500,50.0,2016-11-27,2016_47
Education,600,50.0,2016-11-27,2016_47
Environment,700,50.0,2016-11-27,2016_47
Energy,800,50.0,2016-11-27,2016_47
Transportation,1000,50.0,2016-11-27,2016_47
Law and Crime,1200,50.0,2016-11-27,2016_47
Social Welfare,1300,50.0,2016-11-27,2016_47
Housing,1400,50.0,2016-11-27,2016_47
Domestic Commerce,1500,50.0,2016-11-27,2016_47
Defense,1600,50.0,2016-11-27,2016_47
Technology,1700,50.0,2016-11-27,2016_47
International Affairs,1900,50.0,2016-11-27,2016_47
Government Operations,2000,50.0,2016-11-27,2016_47
Public Lands,2100,50.0,2016-11-27,2016_47
Macroeconomics,100,50.0,2016-12-04,2016_48
Civil Rights,200,50.0,2016-12-04,2016_48
Health,300,50.0,2016-12-04,2016_48
Agriculture,400,50.0,2016-12-04,2016_48
Labor,500,50.0,2016-12-04,2016_48
Education,600,50.0,2016-12-04,2016_48
Environment,700,50.0,2016-12-04,2016_48
Energy,800,50.0,2016-12-04,2016_48
Transportation,1000,50.0,2016-12-04,2016_48
Law and Crime,1200,50.0,2016-12-04,2016_48
Social Welfare,1300,50.0,2016-12-04,2016_48
Housing,1400,50.0,2016-12-04,2016_48
Domestic Commerce,1500,50.0,2016-12-04,2016_48
Defense,1600,50.0,2016-12-04,2016_48
Technology,1700,50.0,2016-12-04,2016_48
International Affairs,1900,50.0,2016-12-04,2016_48
Government Operations,2000,50.0,2016-12-04,2016_48
Public Lands,2100,50.0,2016-12-04,2016_48
Macroeconomics,100,50.0,2016-12-11,2016_49
Civil Rights,200,50.0,2016-12-11,2016_49
Health,300,50.0,2016-12-11,2016_49
Agriculture,400,50.0,2016-12-11,2016_49
Labor,500,50.0,2016-12-11,2016_49
Education,600,50.0,2016-12-11,2016_49
Environment,700,50.0,2016-12-11,2016_49
Energy,800,50.0,2016-12-11,2016_49
Transportation,1000,50.0,2016-12-11,2016_49
Law and Crime,1200,50.0,2016-12-11,2016_49
Social Welfare,1300,50.0,2016-12-11,2016_49
Housing,1400,50.0,2016-12-11,2016_49
Domestic Commerce,1500,50.0,2016-12-11,2016_49
Defense,1600,50.0,2016-12-11,2016_49
Technology,1700,50.0,2016-12-11,2016_49
International Affairs,1900,50.0,2016-12-11,2016_49
Government Operations,2000,50.0,2016-12-11,2016_49
Public Lands,2100,50.0,2016-12-11,2016_49
Macroeconomics,100,50.0,2016-12-18,2016_50
Civil Rights,200,50.0,2016-12-18,2016_50
Health,300,50.0,2016-12-18,2016_50
Agriculture,400,50.0,2016-12-18,2016_50
Labor,500,50.0,2016-12-18,2016_50
Education,600,50.0,2016-12-18,2016_50
Environment,700,50.0,2016-12-18,2016_50
Energy,800,50.0,2016-12-18,2016_50
Transportation,1000,50.0,2016-12-18,2016_50
Law and Crime,1200,50.0,2016-12-18,2016_50
Social Welfare,1300,50.0,2016-12-18,2016_50
Housing,1400,50.0,2016-12-18,2016_50
Domestic Commerce,1500,50.0,2016-12-18,2016_50
Defense,1600,50.0,2016-12-18,2016_50
Technology,1700,50.0,2016-12-18,2016_50
International Affairs,1900,50.0,2016-12-18,2016_50
Government Operations,2000,50.0,2016-12-18,2016_50
Public Lands,2100,50.0,2016-12-18,2016_50
Macroeconomics,100,50.0,2016-12-25,2016_51
Civil Rights,200,50.0,2016-12-25,2016_51
Health,300,50.0,2016-12-25,2016_51
Agriculture,400,50.0,2016-12-25,2016_51
Labor,500,50.0,2016-12-25,2016_51
Education,600,50.0,2016-12-25,2016_51
Environment,700,50.0,2016-12-25,2016_51
Energy,800,50.0,2016-12-25,2016_51
Transportation,1000,50.0,2016-12-25,2016_51
Law and Crime,1200,50.0,2016-12-25,2016_51
Social Welfare,1300,50.0,2016-12-25,2016_51
Housing,1400,50.0,2016-12-25,2016_51
Domestic Commerce,1500,50.0,2016-12-25,2016_51
Defense,1600,50.0,2016-12-25,2016_51
Technology,1700,50.0,2016-12-25,2016_51
International Affairs,1900,50.0,2016-12-25,2016_51
Government Operations,2000,50.0,2016-12-25,2016_51
Public Lands,2100,50.0,2016-12-25,2016_51
